Data,wig_banki,wig_budow,wig_chemia,wig_energ,wig_gornic,wig_gry,wig_info,wig_leki,wig_media,wig_moto,wig_nrchom,wig_odziez,wig_paliwa,wig_spozyw,10yply,wig
2021-09-30,7657.84,4295.18,8955.44,2702.0,5336.43,20692.97,4656.34,6240.07,8524.46,6686.28,3165.54,8697.2,6902.42,4662.86,2.167,70340.86
2021-10-31,9401.15,4099.3,8831.58,2859.47,5161.27,18418.95,5083.53,6325.35,9046.09,6578.76,3092.34,8503.03,7028.98,4760.9,2.82,73586.32
2021-11-30,8569.3,3725.35,10075.72,2496.54,4666.06,18940.68,4759.27,5371.95,8918.85,6249.28,2849.76,7812.73,6053.53,4527.9,3.036,67814.89
2021-12-31,8640.27,3763.2,9822.11,2415.19,4539.55,19684.68,4706.08,5096.92,8762.86,6728.61,2841.12,9479.24,6494.21,4484.31,3.638,69296.26
2022-01-31,9102.28,3700.19,9997.29,2244.06,4592.58,18223.31,4372.03,4453.85,8367.36,6646.59,2882.15,8489.26,5984.92,4005.58,4.076,67418.41
2022-02-28,7854.84,3508.54,9343.15,2378.94,5465.17,16923.77,4036.94,3390.05,7547.61,6024.53,2646.98,5025.77,6032.19,2804.09,4.092,61141.35
2022-03-31,7643.54,3672.44,11332.19,2647.54,6052.12,17338.52,4410.16,3732.57,7400.91,6439.24,2708.99,6353.77,6552.21,2954.92,5.192,64900.36
2022-04-30,6466.84,3385.76,10621.27,2850.36,5116.83,13013.54,4135.23,3318.76,6626.83,5971.32,2701.4,5349.92,6684.3,2530.87,6.344,57754.98
2022-05-31,6227.81,3674.06,12210.25,2868.52,5122.36,12013.53,4026.02,3043.63,6387.9,5961.59,2593.18,5897.59,6527.75,2607.59,6.534,57432.29
2022-06-30,5455.75,3676.19,11171.69,3045.44,4330.91,10995.38,4029.15,2745.32,6584.57,5854.32,2549.24,5214.1,6180.5,2125.36,6.87,53573.42
2022-07-31,5250.34,3766.63,11056.91,3089.89,4175.86,10604.73,4072.61,3675.91,6375.08,5801.67,2490.68,5594.78,7213.67,2521.99,5.542,55007.36
2022-08-31,4881.75,3724.67,8771.34,2321.01,3325.66,10362.5,4041.08,3353.69,6142.67,5137.76,2505.04,4826.04,5876.63,2251.2,6.145,50174.09
2022-09-30,4570.65,3485.1,8874.73,2026.13,3097.61,11548.88,3882.32,2854.1,5487.19,5103.7,2358.33,4495.73,5145.24,1989.94,7.115,45970.64
2022-10-31,5643.97,3598.33,8966.61,1881.09,3433.54,13739.92,3835.41,3032.19,5832.13,5292.65,2392.36,4722.0,5328.58,1962.31,8.337,50432.55
2022-11-30,6135.09,3930.61,10141.9,2040.84,4284.21,14149.62,4018.57,3022.88,6011.72,6450.24,2511.56,5313.39,6122.41,2075.4,6.581,56058.18
2022-12-31,6251.97,4081.96,10887.39,2108.92,4612.64,14013.86,3974.54,2923.2,6032.39,6485.02,2624.35,5889.48,6010.43,2016.48,6.845,57462.68
2023-01-31,6720.3,4245.92,12584.36,2311.5,5152.52,15095.38,4219.27,3250.32,6561.4,6671.98,2726.64,5684.09,6102.33,2131.53,5.997,61286.58
2023-02-28,6626.8,4317.31,11899.66,2144.92,4590.78,14799.84,4471.7,3120.37,6377.59,7110.88,2803.07,5251.7,6269.69,2251.02,6.53,60181.4
2023-03-31,6268.86,4599.55,12183.43,2040.59,4324.16,13276.47,4378.19,2885.63,6767.44,8101.66,2995.23,5399.38,5484.85,2210.75,6.043,58608.76
2023-04-30,6976.87,5077.14,10888.13,2193.35,4191.85,13337.37,4651.89,2959.8,7214.68,7592.88,3181.38,6617.79,5974.84,2279.19,5.887,62948.5
